zipcode,mediansalary,Pop
1929,76989,"3,272"
1930,63047,"30,261"
1938,82395,"12,981"
1940,90677,"11,926"
1944,105000,"5,234"
1945,95942,"20,370"
1949,87728,"7,748"
1950,76313,"17,249"
1951,91052,"3,622"
1952,62924,"7,819"
1960,67119,"47,991"
1966,73676,"7,762"
1969,74911,"5,504"
1970,57313,"40,268"
1982,97491,"8,299"
1983,115015,"6,132"
1984,132697,"4,451"
1985,111739,"4,160"
2019,77420,"15,248"
2021,88829,"20,755"
2025,114214,"7,255"
2026,85131,"23,478"
2030,164583,"5,561"
2032,77708,"3,576"
2035,94994,"16,163"
2038,92042,"29,553"
2043,99910,"19,867"
2045,70039,"11,047"
2047,75170,247
2048,93593,"22,393"
2050,85395,"24,577"
2052,123176,"12,254"
2053,100950,"12,503"
2054,85472,"7,892"
2056,111767,"10,608"
2061,106730,"9,785"
2062,72935,"28,563"
2066,92394,"17,349"
2067,117828,"17,425"
2071,91781,956
2072,69340,"27,342"
2081,92954,"18,430"
2090,116083,"14,150"
2093,94524,"10,446"
2108,96033,"3,324"
2109,92310,"3,278"
2110,102972,"1,606"
2111,31442,"4,948"
2113,60386,"6,453"
2114,69809,"11,170"
2115,30282,"25,637"
2116,80153,"19,480"
2118,51368,"22,527"
2119,36316,"23,537"
2120,28794,"11,553"
2121,28897,"24,772"
2122,45859,"24,385"
2124,43598,"51,236"
2125,44266,"32,937"
2126,51733,"27,685"
2127,64285,"29,457"
2128,42613,"38,185"
2129,80223,"15,195"
2130,69576,"34,961"
2131,62945,"30,491"
2132,76802,"25,943"
2134,33863,"19,641"
2135,52714,"41,833"
2136,54410,"26,418"
2138,68127,"34,994"
2139,62821,"35,273"
2140,65283,"17,158"
2141,57909,"12,010"
2142,61141,"1,823"
2143,64966,"24,864"
2144,68004,"24,248"
2145,50718,"26,833"
2148,55890,"56,273"
2149,49696,"38,109"
2150,40344,"34,956"
2151,51723,"47,323"
2152,68218,"18,303"
2155,69803,"57,291"
2163,23429,929
2169,56647,"52,278"
2170,64309,"19,203"
2171,66808,"16,610"
2176,85681,"27,173"
2180,78103,"22,116"
2184,77129,"33,731"
2186,98712,"26,112"
2188,65251,"13,828"
2189,62491,"14,455"
2190,74205,"16,780"
2191,68143,"8,916"
2199,68080,"1,004"
2203,106602,1
2210,61807,413
2215,30726,"21,896"
2301,48470,"61,459"
2302,62408,"32,523"
2322,67313,"4,483"
2324,80879,"22,922"
2330,70048,"11,169"
2332,116904,"14,241"
2333,82133,"13,012"
2339,104787,"13,171"
2341,81912,"9,550"
2343,62560,"10,705"
2346,72466,"19,926"
2347,94495,"9,810"
2351,75850,"14,614"
2356,99682,"12,966"
2357,101136,323
2359,83622,"16,907"
2360,74603,"51,563"
2364,78923,"11,805"
2366,89632,126
2367,87917,"2,622"
2368,65118,"30,999"
2370,62855,"17,665"
2375,78410,"9,034"
2379,73651,"6,610"
2382,77027,"13,867"
2420,139453,"14,109"
2421,126827,"16,360"
2445,105027,"21,282"
2446,67338,"24,351"
2451,78675,"17,553"
2452,67088,"12,642"
2453,59067,"29,043"
2457,179792,551
2458,90740,"12,603"
2459,128598,"18,940"
2460,107495,"8,772"
2461,110373,"6,599"
2462,134119,"1,679"
2464,81143,"2,958"
2465,110531,"11,789"
2466,115116,"7,010"
2467,130044,"15,408"
2468,166454,"5,429"
2472,74968,"32,913"
2474,82845,"25,806"
2476,83975,"16,533"
2478,95269,"24,296"
2481,173681,"14,503"
2482,123003,"11,569"
2492,118211,"20,064"
2493,147946,"11,526"
2494,104492,"8,885"
2532,60257,"11,275"
2534,60788,865
2535,68906,"1,182"
2536,61733,"19,684"
2537,86643,"5,732"
2538,54545,"3,528"
2539,67625,"3,771"
2540,58667,"8,794"
2542,39803,"1,588"
2543,82355,845
2553,70197,249
2554,61502,"6,889"
2556,67750,"3,352"
2557,59156,"3,684"
2558,51662,"1,779"
2559,62761,"3,309"
2561,68597,481
2562,68960,"2,881"
2563,84184,"10,346"
2564,81944,388
2568,516,31
2571,55500,"10,045"
2575,68906,"2,438"
2576,62034,"3,213"
2584,81944,4
2601,44219,"15,104"
2630,71383,"1,873"
2631,58280,"9,796"
2632,67464,"11,376"
2633,65871,"4,282"
2635,75166,"3,412"
2637,71516,277
2638,56770,"3,700"
2639,47356,"3,363"
2641,61013,719
2642,59536,"5,431"
2643,62589,45
2644,82198,"3,876"
2645,55137,"9,578"
2646,52700,"1,947"
2647,47353,168
2648,71212,"7,610"
2649,62993,"12,960"
2650,64477,979
2651,54464,13
2652,80425,"1,288"
2653,57062,"6,359"
2655,72786,"3,956"
2657,44646,"3,430"
2659,67569,"1,102"
2660,52611,"6,546"
2663,66109,130
2664,46673,"9,702"
2666,80425,790
2667,66118,"2,614"
2668,71947,"3,274"
2669,67569,259
2670,36555,"1,630"
2671,55677,"1,061"
2672,51601,249
2673,46414,"8,985"
2675,63557,"6,712"
2702,91095,"3,869"
2703,67398,"41,916"
2713,68906,55
2715,83613,"2,591"
2717,75793,"4,594"
2718,81142,"6,406"
2719,53936,"16,150"
2720,47794,"31,309"
2721,32106,"26,428"
2723,30338,"16,231"
2724,30652,"17,397"
2725,65712,"2,663"
2726,68267,"15,530"
2738,101006,"5,118"
2739,74877,"6,282"
2740,38238,"43,249"
2743,70836,"10,148"
2744,31128,"11,667"
2745,51951,"23,851"
2746,24099,"14,861"
2747,72292,"19,451"
2748,72885,"11,531"
2760,79274,"25,526"
2762,73645,"7,678"
2763,76722,"1,782"
2764,83621,"3,623"
2766,77953,"17,869"
2767,76338,"11,839"
2769,90530,"10,179"
2770,95022,"4,397"
2771,73961,"13,507"
2777,70245,"15,945"
2779,81125,"5,748"
2780,53796,"49,469"
2790,68367,"14,305"
2791,72105,302
2802,62982,733
2804,71104,"2,574"
2806,105128,"16,818"
2807,75417,"1,009"
2808,73725,"2,279"
2809,65256,"22,438"
2812,72819,"1,216"
2813,69956,"7,847"
2814,79171,"7,664"
2815,78476,257
2816,68135,"31,625"
2817,81419,"5,095"
2818,90430,"18,176"
2822,98411,"5,697"
2825,73268,"4,922"
2826,65948,832
2827,79051,"2,149"
2828,78326,"7,396"
2830,65423,"5,806"
2831,68687,"3,487"
2832,71453,"4,481"
2833,71104,708
2835,77813,"5,617"
2836,72819,98
2837,94866,"3,592"
2838,62982,"3,712"
2839,65948,"1,833"
2840,58815,"25,661"
2841,53958,840
2842,70801,"17,305"
2852,76449,"23,107"
2857,74686,"8,462"
2858,65948,545
2859,70127,"6,798"
2860,35154,"46,470"
2861,53929,"26,624"
2863,33666,"18,946"
2864,73450,"31,834"
2865,75540,"16,435"
2871,59264,"12,418"
2872,71705,88
2873,71104,161
2874,90020,"5,081"
2875,72819,307
2876,80080,80
2878,62530,"15,257"
2879,70848,"19,172"
2881,47075,"6,387"
2882,61144,"14,807"
2885,54317,"11,386"
2886,59954,"30,234"
2888,58509,"20,650"
2889,60122,"29,615"
2891,61399,"21,338"
2892,80222,"4,846"
2893,52342,"29,518"
2894,72539,730
2895,40457,"43,198"
2896,79213,"10,549"
2898,72768,"1,672"
2903,26262,"9,350"
2904,44102,"28,539"
2905,34503,"20,393"
2906,64563,"29,878"
2907,30216,"27,163"
2908,40373,"38,036"
2909,33877,"40,945"
2910,58287,"20,959"
2911,48687,"15,508"
2912,60938,"1,016"
2914,46275,"22,316"
2915,52780,"18,127"
2916,59302,"8,220"
2917,71030,"13,288"
2919,59408,"28,253"
2920,54380,"37,423"
2921,85748,"10,608"
3031,115544,"10,879"
3032,90082,"4,674"
3033,101722,"4,185"
3034,90986,"3,961"
3036,99970,"3,785"
3037,85573,"3,638"
3038,72374,"33,893"
3042,73405,"5,479"
3043,67541,"1,500"
3044,76929,"3,491"
3045,76696,"12,705"
3046,95682,"2,226"
3047,69136,"1,686"
3048,63151,"3,333"
3049,112885,"7,013"
3051,77996,"22,952"
3052,100051,"7,331"
3053,93465,"23,364"
3054,92954,"25,094"
3055,70617,"13,437"
3057,97234,"2,091"
3060,45861,"29,540"
3062,83501,"26,234"
3063,75894,"16,175"
3064,68657,"14,652"
3070,86118,"4,097"
3071,72739,"4,294"
3076,93085,"10,913"
3077,61164,"9,669"
3079,68841,"28,011"
3082,80299,"1,519"
3084,72806,"1,270"
3086,68090,"3,775"
3087,114204,"10,705"
3101,28275,"2,754"
3102,50355,"30,331"
3103,51018,"36,749"
3104,61017,"31,954"
